Marca comercial,Ingrediente activo,CT,Unidad
"2,4-DB 100  ACA","2,4-DB",III,Lt
ADAMA ESSENTIALS BROMOTRIL,BROMOXINIL,II,Lt
HUMECTANTE ADHERENTE ACA,NONIL FENOL ETOXILADO,IV,Lt
VENDAVAL M.C.P.A,M.C.P.A.,II,Lt
PUMA,FENOXAPROP-P-ETIL ,III,Lt
TOGAR BT,PICLORAM + TRICLOPYR,III,Lt
SUMITOMO SUMITHION 3,FENITROTION,IV,Kg
PERSIST,MANCOZEB,IV,Lt
KOLTAR EC,OXIFLUORFEN,III,Lt
DITHANE M-80,MANCOZEB,III,Lt
MANCOZEB RyH,MANCOZEB,III,Lt
DITHANE DF,MANCOZEB,III,Lt
KERB 50-W,PROPIZAMIDA,IV,Kg
SYSTHANE E,MYCLOBUTANIL,II,Kg
SYSTHANE W,MYCLOBUTANIL,II,Kg
PROGIBB,ACIDO GIBERELICO,IV,Lt
PROMALINA,6-BENCILADENINA + GIBERELINA,IV,Lt
DIPEL L PLUS,BACILLUS THURINGIENSIS VAR. KURSTAKI,IV,Lt
VENDAVAL HM 36 POTASICO,HIDRAZIDA MALEICA,IV,Lt
VENDAVAL FUMIGANTE V,METAM SODIO,III,Lt
VENDAVAL CIPERMETRINA 25,CIPERMETRINA,II,Lt
CIPERMETRINA ATANOR 25,CIPERMETRINA,II,Lt
SISTEMICO ATANOR CE,DIMETOATO,II,Lt
MATAYUYOS SELECTIVO MCPA,M.C.P.A.,III,Lt
"2,4D AMINA","2,4-D SAL AMINA",II,Lt
HERBIFEN AMINA 70,"2,4-D SAL AMINA",II,Lt
KURGA,FLUAZIFOP-P-BUTIL,IV,Lt
ISHIPRON,CLORFLUAZURON,III,Lt
VERTIMEC,ABAMECTINA,II,Lt
RINDER,GLIFOSATO,III,Lt
AFICIDA ,PIRIMICARB,II,Lt
ACTELLIC 50,PIRIMIFOS METIL,II,Lt
DEVETION,D.D.V.P.,Ib,Lt
SISTEMICO ICONA,DIMETOATO,II,Lt
XIPER 25,CIPERMETRINA,II,Lt
DEFOLEX,PARAQUAT,II,Lt
TRIVERDAX,TRIFLURALINA,IV,Kg
HERBIFEN AMINA TD,"2,4-D SAL AMINA",II,Kg
TRAC 50 FL,ATRAZINA,II,Kg
VENCEWEED EXTRA,"2,4-DB",II,Kg
ITALAME,AMETRINA,II,Lt
MATAHOR GLEX,FENITROTION,IV,Lt
TIOKOLL 80,AZUFRE,IV,Lt
CARBARYL ROCA,CARBARIL,III,Lt
AGROFUR,POLISULFURO DE CALCIO,II,Lt
PHOSTOXIN DEGESCH,FOSFURO DE ALUMINIO,Ia,Kg
DEGESCH MAGTOXIN,FOSFURO DE MAGNESIO,Ia,Kg
PLACAS DEGESCH,FOSFURO DE MAGNESIO,Ia,Lt
FLEX,FOMESAFEN,III,Kg
SENCOREX 48,METRIBUZIN,II,Lt
POAST,SETOXIDIM,IV,Lt
BASAGRAN 60,BENTAZON,II,Lt
BLAZER,ACIFLUORFEN SODICO,III,Lt
TRIZIMAN D,MANCOZEB,IV,Kg
KUMULUS DF,AZUFRE,IV,Lt
CAURIFIX S,OXICLORURO DE COBRE,IV,Kg
PERFEKTHION S,DIMETOATO,II,Kg
BASAMID G,DAZOMET,III,Kg
AMITRAZ ESTRELLA,AMITRAZ,II,Kg
ESTRELLA,GLIFOSATO,III,Lt
CLORPIRIFOS ESTRELLA,CLORPIRIFOS,II,Lt
ESCORT,METSULFURON METIL,IV,Lt
SELECT,CLETODIM,III,Lt
HYVAR X,BROMACIL,IV,Kg
BENCARB  L,CARBENDAZIM,IV,Lt
BAYLETON,TRIADIMEFON,III,Kg
PHOSGAS COMPRIMIDOS ,FOSFURO DE ALUMINIO,Ia,Lt
PHOSGAS PASTILLAS ,FOSFURO DE ALUMINIO,Ia,Lt
PHOSGAS PASTILLONES,FOSFURO DE ALUMINIO,Ia,Lt
BANVEL,DICAMBA,III,Kg
MANZATE CC,MANCOZEB,III,Kg
ANTRACOL,PROPINEB,III,Kg
SEVIN 85 S,CARBARIL,III,Kg
TORDON D 30,"PICLORAM + 2,4-D SAL AMINA",II,Lt
TORDON 24 K,PICLORAM,III,Kg
LORSBAN 48 E,CLORPIRIFOS,II,Lt
LORSBAN PLUS,CLORPIRIFOS + CIPERMETRINA,II,Kg
NURELLE 25 E,CIPERMETRINA,II,Lt
"LORSBAN 2,5 P",CLORPIRIFOS,IV,Kg
D.D.V.P. 100 ACA,D.D.V.P.,Ib,Kg
SOLY-OIL,ACEITE MINERAL,IV,Kg
LANNATE,METOMIL,Ib,Lt
ALMACIGOL,SULFATO NEUTRO DE OXIQUINOLEINA,II,Lt
RELDAN 48 E,CLORPIRIFOS METIL,II,Lt
RELDAN PLUS,CLORPIRIFOS + DELTAMETRINA,II,Kg
LIBERTY,GLUFOSINATO DE AMONIO,II,Kg
ISOMERO 11 EW,FENOXAPROP-P-ETIL,III,Lt
GALGOFOS,DIMETOATO,II,Lt
GALGOTRIN,CIPERMETRINA,II,Lt
DEPEGAL 100,D.D.V.P.,Ib,Lt
NOMOLT,TEFLUBENZURON,IV,Lt
K-OBIOL,DELTAMETRINA,II,Lt
SUMI-ALPHA 5 E,ESFENVALERATO,II,Lt
SUMMIT SUMITHION 100,FENITROTION,II,Lt
ASULOX,ASULAM,II,Kg
MIKAL,FOSETIL ALUMINIO + FOLPET,IV,Lt
ALIETTE,FOSETIL ALUMINIO,III,Kg
FORMULAGRO TIURAM T 25,TIRAM,III,Lt
CORAZA L 35,DIFENILAMINA,IV,Lt
CHALLENGER,NICOSULFURON,IV,Lt
ADAMA ESSENTIALS MERPAN,CAPTAN,III,Lt
ADAMA RSSENTIALS LINUREX,LINURON,III,Kg
ARGENFRUT RI,ACEITE MINERAL,IV,Lt
ARGENFRUT L ALFA,ACEITE MINERAL,IV,Lt
ARGENFRUT R-V,ACEITE MINERAL,IV,Lt
TALSTAR,BIFENTRIN,II,Lt
DOMINEX,ALFACIPERMETRINA ,II,Lt
POSSE 25 EC,CARBOSULFAN,Ib,Lt
ROUNDUP,GLIFOSATO,IV,Lt
COMMAND,CLOMAZONE,II,Lt
TOMATOSA,ACIDO BETA NAFTOXI ACETICO,IV,Lt
MANZATE PRO STICK,MANCOZEB,IV,Kg
SCEPTER,IMAZAQUIN,II,Lt
ARSENAL,IMAZAPIR,III,Kg
SUPERCUPROL,OXICLORURO DE COBRE,II,kg
NISSORUM,HEXITIAZOX,IV,kg
PREVICUR N,PROPAMOCARB CLORHIDRATO,II,Lt
ADAMA ESSENTIALS ACARISTOP 50 SC,CLOFENTEZINE,II,Lt
DROMONE,DICLORPROP,III,Lt
CERCOBIN NF,METIL TIOFANATO,III,Lt
CERCOBIN ULV,METIL TIOFANATO,III,Lt
CERCOBIN,METIL TIOFANATO,IV,Lt
RASTRA,ACETOCLOR,III,Lt
RASTRA M,ACETOCLOR,II,Lt
GESAPRIM 50 FW,ATRAZINA,IV,Lt
GESAPRIM 90 WDG,ATRAZINA,III,Lt
TILT 25 EC,PROPICONAZOLE,IV,Lt
TOPAS,PENCONAZOLE,III,Kg
NISSHIN,NICOSULFURON,IV,Lt
PLURAFAC LF,ALCOXILATO DE ALCOHOLES GRASOS LINEARES,IV,Lt
FUVOS,D.D.V.P.,Ib,Lt
ADAMA ESSENTIALS SUPERFOLPAN,FOLPET,III,Lt
OMITE 72 E,PROPARGITE,II,Lt
OMITE 30 W,PROPARGITE,IV,Lt
ROYAL MH,HIDRAZIDA MALEICA,IV,Lt
GALBEN M,BENALAXIL + MANCOZEB,IV,Lt
VTL DUPERIAL,AZUFRE,IV,Lt
ORTHOCIDE 80 WP,CAPTAN,IV,Lt
GRAMOXONE SUPER,PARAQUAT,II,Kg
PADAN 50 SP,CARTAP,IV,Lt
BROMETAN,BROMURO DE METILO,Ia,Lt
DETERCIDE,ORTO FENIL FENATO DE SODIO,IV,Lt
ADAMA ESSENTIALS RAINBOW,FLUROCLORIDONA,II,Lt
REGLONE,DIQUAT DIBROMURO,II,Lt
KASUMIN 2,KASUGAMICINA,IV,Lt
COTACUATRO,SULFATO DE COBRE PENTAHIDRATADO,III,Lt
GIBERELINA KA,ACIDO GIBERELICO,IV,Kg/Gr
LAZO,ALACLOR,II,Kg
GUARDIAN,ACETOCLOR,II,Kg
HARNESS,ACETOCLOR,III,Kg
CIPERMIN,CIPERMETRINA,II,Lt/Kg
AGRI-MICINA,SULFATO DE ESTREPTOMICINA + OXITETRACICLINA,IV,Kg
SUMILEX  50,PROCIMIDONE,IV,Kg/gr
RINO ,NONIL FENOL POLIGLICOL ETER,IV,Lt
TRIFLUREX,TRIFLURALINA,IV,Lt
ADAMA ESSENTIALS PYRINEX,CLORPIRIFOS,II,Lt
ADAMA ESSENTIALS AMETREX,AMETRINA,III,Mg/Caps.
ADAMA ESSENTIALS SUPRATHION,METIDATION,II,Lt
FUNGAFLOR 50 EC,IMAZALIL,II,Lt
ADAMA ESSENTIALS ATRANEX ,ATRAZINA,IV,Lt
MCPA AMINA 75,M.C.P.A.,III,Lt
DETERCIDE 24,ORTO FENIL FENATO DE SODIO,IV,Kg
DEMILDEX,OXICLORURO DE COBRE,III,Lt
ADAMA ESSENTIALS XEDREL 50,IMAZALIL,II,Lt/Kg
DIRETH,CLORPIRIFOS,IV,Lt
NASS 50,NONIL FENOL ETOXILADO,IV,Lt
HERBIFEN SUPER,"2,4-D",II,Lt
GALGOPER,PERMETRINA,II,Lt
ADAMA ESSENTIALS AGIL,PROPAQUIZAFOP,IV,Lt
SHERIFF,QUIZALOFOP-P-ETIL,IV,Lt
MINSET,D.D.V.P.,Ib,Lt
PIVOT H,IMAZETAPIR,III,Lt
ALUFOS,FOSFURO DE ALUMINIO,Ia,Lt
NOVA,NONIL FENOL ETOXILADO + DODECIL BENCENO SULFONATO DE AMONIO,IV,Kg
NOVADOX,ALQUIL ARIL POLIETER ALCOHOL + DODECIL BENCENO SULFONATO ,III,Kg
TIOSOL,AZUFRE,IV,Kg
PENNCOZEB,MANCOZEB ,IV,Lt
PRODIGIO 60 SC,ACLONIFEN,II,Kg
DICARZOL 50 PS,FORMETANATO,II,Lt
NOVAOIL,ACEITE MINERAL,IV,Lt
SISTEMICO GLEX ,DIMETOATO,II,Lt
DEF,TRIBUFOS,II,Lt
DANITOL SUPER,ESFENVALERATO + FENPROPATRINA,Ib,Lt
LOGRAN,TRIASULFURON,III,Kg
KRUEL ,CIPERMETRINA,II,Lt
PRODIME 40,DIMETOATO,II,Lt
BULLDOCK,BETA CIFLUTRIN,II,Lt
AZUFRE POLO,AZUFRE,IV,Lt
SEMEVIN ,TIODICARB,II,Lt
DEVETION PLUS,D.D.V.P. + DELTAMETRINA,Ib,Lt
POLVO BORDELES GRHESA AGRO,OXICLORURO DE COBRE,IV,Lt
SULFATO DE COBRE AGROMEN,SULFATO DE COBRE PENTAHIDRATADO,IV,Kg
ULTRA PLUS,BRODIFACOUM,IV,Lt
RANGO GR,QUIZALOFOP-P-TEFURIL,III,Lt
AGROSTIM,FOLCISTEINA,IV,Kg
VENDAVAL Bt,BACILLUS THURINGIENSIS,IV,Kg
TENSUC,DODECIL BENCENO SULFATO DE AMONIO,III,Kg
"PRIME + 12,5 EC",FLUMETRALIN,II,Lt
GALBEN R,BENALAXIL + OXICLORURO DE COBRE,III,Kg
CORAZA 15,DIFENILAMINA,IV,Kg
ZINEBLUE,ZINEB,III,Kg
PANTERA,QUIZALOFOP-P-TEFURIL,III,Gr
DORMEX,CIANAMIDA HIDROGENADA,II,Kg
GLIFOSATO LA TIJERETA,GLIFOSATO,IV,Lt
BAC-THUR,BACILLUS THURINGIENSIS,IV,Lt
GLIFOSATO ATANOR,GLIFOSATO,III,Lt
BROM-O-GAS,BROMURO DE METILO,Ia,Lt
BIOREND,QUITOSANO,IV,Lt
