Nombre Científico,Nombre Común
16 Sr III-B ,x disease
16SrI ,Virginia grapevine yellows I 
16SrI-A ,Grapevine yellows in Canada
16SrII-C Faba bean phyllody,
16SrIII-I ,Virginia grapevine yellows III 
16SrIII-J,
16SrIII-X,
16SrV-A Candidatus Phytoplasma ulmi,
16SrVII-A,
16SrVII-B,
16SrVII-C,
16SrXII-A ,Grapevine yellows 
16SrXII-F Bois noir ,Grapevine yellows
16SrXII-G Bois noir ,Grapevine yellows
16SrXIII-A,
16SrXIII-F,
Abortiporus biennis,
Abutilon mosaic virus,
Abutilon theophrasti ,Hoja terciopelo
Acacia longifolia,
Acalitus essigi ,Ácaro rojo de la zarzamora
Acalitus vaccinii,
Acanonicus hanni ,chinches del zapallo
Acanthoderes jaspidea ,Taladro jaspeado
Acanthoscelides obtectus ,gorgojo del poroto
Acanthoscelides zeteki,
Acanthospermum hispidum ,Torito
Aceria ficus,
Aceria mangiferae,
Aceria oleae,
Aceria sheldoni ,Ácaro de las yemas
Aceria tosichella,
Aceria tulipae ,Ácaro del ajo
Achaea janata,
Acharia trimacula,
Achryson maculatum,
Achryson surinamum,
Achryson undalatun,
Acidovorax avenae ,Estría roja
Acidovorax avenae subsp. citrulli,
Acidovorax temperans,
Acleris spp.,
Acrogonia flaveoloides ,Chicharrita
Acrolepiopsis assectella ,barrenador de la cebolla 
Acromyrmex ambiguus ,Hormiga renegrida
Acromyrmex aspersus ,Hormiga
Acromyrmex crassispinus ,Hormiga
Acromyrmex fracticornis ,Hormiga cortadora
Acromyrmex heyeri,
Acromyrmex hispidus ,Hormiga cortadora
Acromyrmex landolti ,Hormiga
Acromyrmex laticeps ,Hormiga
Acromyrmex lobicornis ,Hormiga negra del sur
Acromyrmex lundii , Hormiga negra común
Acromyrmex niger,
Acromyrmex rugosus ,Hormiga
Acromyrmex striatus ,Hormiga colorada podadora 
Acromyrmex subterraneus ,Hormiga
Acrotomopus atropunctellus ,picudo 
Actinidia chlorotic ringspot-associated virus ,AcCRaV
Actinidia citrivirus,
Actinidia virus A ,AcVA
Actinidia virus B ,AcVB
Actinote pellenea , Isoca espinosa
Aculops lycopersici ,Ácaro del bronceado del tomate
Aculus fockeui ,Eriófido del plateado del duraznero 
Aculus schlechtendali,
Acutaspis albopicta,
Acutaspis paulista ,Cochinilla gris circular del olivo
Acutaspis perseae,
Acyrthosiphon kondoi ,Pulgon azul de la alfalfa
Acyrthosiphon pisum ,Pulgon verde
Adelphocoris lineolatus,
Adoxophyes orana,
Adris tyrannus,
Aegilops cylindrica,
Aegorhinus phaleratus ,Cabrito
Aegorhinus superciliosus ,Cabrito del frambueso
Aeolothrips mexicanus,
Aeschynomene rudis,
African cassava mosaic virus,
Agalliana ensigera,
Ageratina adenophora,
Aglaope infausta,
Agonoscena targionii,
Agriotes lineatus ,Gusano alambre
Agriotes obscurus ,Agriote 
Agrius convolvuli ,Esfinge del correhuela
Agropyron streak mosaic virus ,Mosaico del Agropiro
Agrostemma githago ,Yetón 
Agrosthemna githago,
Agrotis deprivata ,gusano cogollero
Agrotis exclamationis,
Agrotis gypaetina ,Gusano pardo 
Agrotis ipsilon ,Gusano grasiento
Agrotis segetum,
Agrypnus variabilis,
Alabama argillacea ,Oruga de la hoja
Albonectria rigidiuscula,
Albugo candida ,Roya blanca de las crucíferas
Aleurocanthus spiniferus,
Aleurocanthus woglumi ,Mosca negra de los cítricos
Aleurothrixus floccosus ,Mosca blanca
Alfalfa Mosaic Virus ,AMV 
Allothrombium fuliginosum,
Alopecurus myosuroides,
Alphus bruchi,
Alstroemeria mosaic virus ,AlMV
Alternanthera philoxeroides ,Lagunilla 
Alternanthera sessilis,
Alternaria alternata ,Mancha marrón 
Alternaria alternata f. sp. Citri ,Mancha marrón 
Alternaria botrytis,
Alternaria brassicae ,Mancha foliar 
Alternaria brassicicola ,Mancha negra
Alternaria carthami ,Mancha foliar
Alternaria citri ,Alternaria
Alternaria cucumerina,
Alternaria dianthi,
Alternaria dianthicola,
Alternaria embellisia ,ajo cabeza negra
Alternaria gaisen,
Alternaria infectoria,
Alternaria japonica ,Mancha negra
Alternaria mali,
Alternaria metachromatica,
Alternaria oregonensis,
Alternaria porri ,Mancha púrpura 
Alternaria radicina ,Mancha foliar
Alternaria scrophulariae,
Alternaria solani ,Tizón temprano
Alternaria steviae,
Alternaria tenuissima,
Alternaria triticimaculans,
Alternaria triticina ,Mancha foliar por alternaria
Alternariaster helianthi ,Mancha del tallo y de la hoja 
Altica ampelophaga,
Amaranthus albus ,Yuyo bola
Amaranthus deflexus ,Bledo 
Amaranthus palmeri ,Yuyo colorado
Amaranthus quitensis ,Yuyo colorado 
Amaranthus tuberculatus,
Amaranthus viridis ,Bledo 
Ambonus interrogationis,
Ambrosia artemisiifolia,
Ambrosia psilostachya,
Ambrosia trifida,
Ammannia coccinea,
Ammi majus ,Apio cimarrón 
Ammi visnaga,
Amorbia cuneana,
Amorbia emigratella ,Enrollador de las hojas
Amorbia essigana,
Amphicerus cornutus,
Amphicranus rasilis,
Amplicephalus dubius,
Amplicephalus marginellanus,
Amsinckia intermedia,
Amyelois transitella,
Amylostereum areolatum,
Anagallis arvensis ,Anagalis 
Anarsia lineatella,
Anassa guttifera ,chinches del zapallo
Anastrepha fraterculus ,Mosca sudamericana de los frutos
Anastrepha spp. ,excepto A. fraterculus
Ancistrosoma vittigerum,
Andean potato latent virus,
Andean potato mottle virus,
Anguina agrostis,
Anguina funesta,
Anguina tritici,
Anicla ignicans,
Anicla infecta ,Cortador
Anisandrus dispar,
Anoda cristata ,Malva cimarrona 
Anomala testaceipes,
Anoplophora glabripennis ,Escarabajo asiático de cuernos largos
Anoplophora spp.,
Anoxia villosa,
Anthaxia concinna ,Cantarina
Anthemis cotula ,Manzanilla cimarrona 
Antherospora vaillantii,
Anthinus albolabiatus,
Anthonomus bisignifer,
Anthonomus eugenii,
Anthonomus grandis ,Picudo del algodonero
Anthonomus musculus,
Anthonomus pedicularis ,gorgojo 
Anthonomus pomorum,
Anthonomus pyri,
Anthonomus quadrigibbus,
Anthonomus rectirostris ,gorgojo 
Anthonomus rubi ,gorgojo 
Anthonomus signatus,
Anthonomus vestitus,
Anthostomella nitidissima,
Anthostomella palmaria,
Anthostomella puiggarii,
Anthostomella spiralis,
Anthracocystis ehrenbergii,
Anticarsia gemmatalis ,Isoca de las leguminosas
Antrodia malicola,
Antrodia serialis,
Anurogryllus muticus ,Grillo subterráneo
Aonidiella aurantii ,Cochinilla roja Australiana
Aonidiella citrina ,escama amarilla de los cítricos
Aonidiella orientalis,
Aonidomytilus albus,
Apate monachus ,Taladrador del tallo del cafeto
Apera spica-venti,
Aphanostigma jakusuiense,
Aphelenchoides besseyi,
Aphelenchoides bicaudatus,
Aphelenchoides blastophthorus,
Aphelenchoides fragariae,
Aphelenchoides ritzemabosi ,Nematodo del crisantemo
Aphelenchoides subtenuis,
Aphis craccivora ,pulgon negro de las leguminosas
Aphis fabae ,Pulgón negro de las habas 
Aphis forbesi ,Pulgón de la frutilla
Aphis frangulae,
Aphis gossypii ,Pulgón del algodón
Aphis illinoisensis ,Pulgón de la Vid  
Aphis pomi ,Pulgón verde del manzano
Aphis spiraecola ,pulgón verde
Apiomyia bergenstammi,
Apion prosopis,
Apiosporina morbosa,
Apomyelois ceratoniae ,polilla del algarrobo
Aponychus schultzi,
Apple chat fruit phytoplasma,
Apple chlorotic leaf spot virus ,ACLSV 
Apple dimple fruit viroid,
Apple green crinkle agent,
Apple mosaic virus ,ApMV 
Apple ringspot agent,
Apple rubbery wood phytoplasma ,ARW 
Apple scar skin viroid,
Apple star crack agent ,apple star crack
Apple stem grooving virus ,ASGV
Apple stem pitting virus ,ASPV 
Apricot ringpox agent,
Arabis mosaic virus,
Araecerus fasciculatus,
Aramigus tessellatus,
Araucarivora gentilli ,Larva minadora
Arceuthobium spp.,
Archips argyrospilus,
Archips breviplicanus,
Archips fuscocupreanus,
Archips podana,
Archips rosana,
Archophileurus vervex,
Arctotheca prostrata,
Argemone subfusiformis ,Cardo santo
Argentinoeme schulsi,
Argyresthia pruniella,
Argyrotaenia franciscana,
Argyrotaenia ljungiana,
Argyrotaenia loxonephes,
Argyrotaenia pomililiana,
Argyrotaenia sphaleropa,
Argyrotaenia tucumana,
Arhopalus rusticus,
Arhopalus syriacus,
Arion hortensis ,Babosa de las huertas 
Armadillidium vulgare ,Bicho Bolita
Armillaria mellea,
Aromia bungii,
Arracacha B virus ,oca strain
Artemisia verlotiorum ,Yuyo de San Vicente 
Arthrinium phaeospermum,
Arvelius albopunctatus ,Chinche verde
Ascochyta hordei,
Ascochyta hyalospora ,Mancha foliar
Aspergillus alliaceus,
Aspergillus brasiliensis ,Aspergillus en semillas de zapallo
Aspergillus flavus ,Pudrición de marzorca 
