Nro Registro,Especie,Condición genética,Nombre botánico,Cultivar,Tipo,Característica,G Especie,Inscripción RNC,Inscripción RNPC,Validez RNPC,Vigencia,País,Solicitante,Representante,Evento de Transformación,
17111,ACELGA,,Beta vulgaris L. var. vulgaris L.,AGILA,1,,HT,2017/07/11,0000/00/00,0000/00/00,,ITA,AGROP.PILAR(PAIER&ANGIELCZYK),ANGIELCZYK GUSTAVO ISAIAS,,
16311,ACELGA,,Beta vulgaris L. var. vulgaris L.,AMARILLA DE LYON,1,,HT,2016/04/08,0000/00/00,0000/00/00,,ITA,CAPS CIA.ARG.PROD.DE SEMILLAS,POCHETTINO RICARDO DANIEL,,
954,ACELGA,,Beta vulgaris L. var. vulgaris L.,ANEPAN INTA,4,,HT,1981/01/13,0000/00/00,0000/00/00,,ARG,,,,
13911,ACELGA,,Beta vulgaris L. var. vulgaris L.,ARGENTATA 2,1,,HT,2012/08/02,0000/00/00,0000/00/00,,ITA,GARDE GIUSTI Y CHUCHUY S.A.,"GIUSTI, HUGO RICARDO",,
18050,ACELGA,,Beta vulgaris L. var. vulgaris L.,ARGENTATA 3,1,,HT,2018/05/07,0000/00/00,0000/00/00,,ITA,GARDE GIUSTI Y CHUCHUY S.A.,JAVIER CHUCHUY,,
17279,ACELGA,,Beta vulgaris L. var. vulgaris L.,BALI,1,,HT,2018/01/22,0000/00/00,0000/00/00,,NLD,BEJO SEMILLAS ARGENTINAS S.A,PETRUS DEKKER,,
16986,ACELGA,,Beta vulgaris L. var. vulgaris L.,BARESE,1,,HT,2017/03/17,0000/00/00,0000/00/00,,ITA,GARDE GIUSTI Y CHUCHUY S.A.,JAVIER CHUCHUY,,
16312,ACELGA,,Beta vulgaris L. var. vulgaris L.,CANDIDA,1,,HT,2016/12/16,0000/00/00,0000/00/00,,ITA,CAPS CIA.ARG.PROD.DE SEMILLAS,POCHETTINO RICARDO DANIEL,,
17280,ACELGA,,Beta vulgaris L. var. vulgaris L.,DELTA,1,,HT,2018/01/22,0000/00/00,0000/00/00,,NLD,BEJO SEMILLAS ARGENTINAS S.A,PETRUS DEKKER,,
16758,ACELGA,,Beta vulgaris L. var. vulgaris L.,D`AMPUIS,1,,HT,2016/11/16,0000/00/00,0000/00/00,,FRA,ALLIANCE SEMILLAS SA,BASCUÑAN JULIO,,
14386,ACELGA,,Beta vulgaris L. var. vulgaris L.,ERBETTE DA TAGLIO,1,,HT,2012/12/19,0000/00/00,0000/00/00,,ITA,GARDE GIUSTI Y CHUCHUY S.A.,"GIUSTI, HUGO RICARDO",,
16259,ACELGA,,Beta vulgaris L. var. vulgaris L.,LARGE WHITE RIBBED DARK GREEN,1,,HT,2015/12/01,0000/00/00,0000/00/00,,USA,CAPS CIA.ARG.PROD.DE SEMILLAS,POCHETTINO RICARDO DANIEL,,
4731,ACELGA,,Beta vulgaris L. var. vulgaris L.,LUCULLUS,1,,HT,1998/03/17,0000/00/00,0000/00/00,,ZAF,MAY FORD SEEDS (PTY) LTD,ARANOVICH EDUARDO,,
17883,ACELGA,,Beta vulgaris L. var. vulgaris L.,PRIUS,1,,HT,2017/12/27,0000/00/00,0000/00/00,,NLD,SEMILLAS EMILIO SRL,KRAMAROVSKY EMILIO,,
16987,ACELGA,,Beta vulgaris L. var. vulgaris L.,RHUBARB,1,,HT,2017/03/17,0000/00/00,0000/00/00,,ITA,GARDE GIUSTI Y CHUCHUY S.A.,JAVIER CHUCHUY,,
14285,ACELGA,,Beta vulgaris L. var. vulgaris L.,SIBILLA,1,,HT,2012/12/19,0000/00/00,0000/00/00,,ITA,GARDE GIUSTI Y CHUCHUY S.A.,"GIUSTI, HUGO RICARDO",,
974,ACELGA,,Beta vulgaris L. var. vulgaris L.,VERDE ANUAL SEL SAN PEDRO INTA,4,,HT,1981/01/13,0000/00/00,0000/00/00,,ARG,,,,
16949,ACELGA,,Beta vulgaris L. var. vulgaris L.,VERDE DE PENCA BLANCA ANCHA,1,,HT,2017/04/19,0000/00/00,0000/00/00,,ARG,CAPS CIA.ARG.PROD.DE SEMILLAS,POCHETTINO RICARDO DANIEL,,
17600,ACHICORIA,,Cichorium intybus L.,BOTTICELLI,1,,HT,2017/12/28,0000/00/00,0000/00/00,,NLD,BEJO SEMILLAS ARGENTINAS S.A,PETRUS DEKKER,,
16301,ACHICORIA,,Cichorium intybus L.,CATALOGNA GIGANTE DI CHIOGGIA,1,,HT,2016/04/08,0000/00/00,0000/00/00,,ITA,CAPS CIA.ARG.PROD.DE SEMILLAS,POCHETTINO RICARDO DANIEL,,
960,ACHICORIA,,Cichorium intybus L.,HOJA FINA SEL SAN PEDRO INTA,4,,HT,1981/01/13,0000/00/00,0000/00/00,,ARG,,,,
16529,ACHICORIA,,Cichorium intybus L.,HOJAS ANCHAS DOBLE BLONDE,1,,HT,2016/08/01,0000/00/00,0000/00/00,,ITA,GARDE GIUSTI Y CHUCHUY S.A.,"GIUSTI, HUGO RICARDO",,
4291,ACHICORIA,,Cichorium intybus L.,INIA LE LACERTA,3,,HT,1996/03/04,1996/03/04,2016/03/04,N,URY,INST.NAC.DE INV.AGROPECUARIA,CALVELO ANTONIO JOSE,,
15976,ACHICORIA,,Cichorium intybus L.,LEONARDO,1,,HT,2015/11/26,0000/00/00,0000/00/00,,NLD,BEJO SEMILLAS ARGENTINA S.A.,PETRUS ADRIANUS DEKKER,,
16984,ACHICORIA,,Cichorium intybus L.,PALLA ROSSA 3,1,,HT,2017/03/17,0000/00/00,0000/00/00,,ITA,GARDE GIUSTI Y CHUCHUY S.A.,JAVIER CHUCHUY,,
16302,ACHICORIA,,Cichorium intybus L.,PAN DI ZUCCHERO,1,,HT,2016/04/08,0000/00/00,0000/00/00,,ITA,CAPS CIA.ARG.PROD.DE SEMILLAS,POCHETTINO RICARDO DANIEL,,
10766,ACHICORIA,,Cichorium intybus L.,PANTHER,3,,HT,2009/12/07,2009/12/07,2029/12/07,S,ARG,GENTOS S.A.,JOAQUIN GONZALEZ BONORINO,,
16527,ACHICORIA,,Cichorium intybus L.,PUGLIESE,1,,HT,2016/08/01,0000/00/00,0000/00/00,,ITA,GARDE GIUSTI Y CHUCHUY S.A.,"GIUSTI, HUGO RICARDO",,
14079,ACHICORIA,,Cichorium intybus L.,PUNA II,1,,HT,2015/09/29,0000/00/00,0000/00/00,,NZL,PGG WRIGHTSON SEEDS LTD,OTEIZA AGUIRRE MARCOS,,
16982,ACHICORIA,,Cichorium intybus L.,ROJA DE TREVISO,1,,HT,2017/03/17,0000/00/00,0000/00/00,,ITA,GARDE GIUSTI Y CHUCHUY S.A.,JAVIER CHUCHUY,,
16981,ACHICORIA,,Cichorium intybus L.,ROJA DE VERONA,1,,HT,2017/03/17,0000/00/00,0000/00/00,,ITA,GARDE GIUSTI Y CHUCHUY S.A.,JAVIER CHUCHUY,,
17418,ACHICORIA,,Cichorium intybus L.,ROSSINI,1,,HT,2017/12/26,0000/00/00,0000/00/00,,NLD,BEJO SEMILLAS ARGENTINAS S.A,PETRUS DEKKER,,
17424,ACHICORIA,,Cichorium intybus L.,RUBRO,1,,HT,2017/12/26,0000/00/00,0000/00/00,,NLD,BEJO SEMILLAS ARGENTINAS S.A,PETRUS DEKKER,,
16526,ACHICORIA,,Cichorium intybus L.,SEMPER,1,,HT,2016/08/01,0000/00/00,0000/00/00,,ITA,GARDE GIUSTI Y CHUCHUY S.A.,"GIUSTI, HUGO RICARDO",,
16795,ACHICORIA,,Cichorium intybus L.,SPADONA,1,,HT,2017/10/02,0000/00/00,0000/00/00,,FRA,ALLIANCE SEMILLAS SA,BASCUÑAN JULIO,,
16983,ACHICORIA,,Cichorium intybus L.,ZUCCHERINA DI TRIESTE,1,,HT,2017/03/17,0000/00/00,0000/00/00,,ITA,GARDE GIUSTI Y CHUCHUY S.A.,JAVIER CHUCHUY,,
3213,ADZUKI,VARIEDAD,Vigna Angularis L.,JEO 90 1 AR,2,,HT,0000/00/00,1994/05/04,2014/05/04,N,ARG,CEIBALITO S.A.,OLMEDO GUSTAVO ENRIQUE,,
10463,AGROPIRO ALARGADO,,Agropyron elongatum (Host) P. Beauv.,ATAHUALPA INTA,3,,FO,2008/03/19,2008/03/19,2028/03/19,S,ARG,INST. NAC. TEC. AGROPECUARIA,RAGONESE MARIA ELENA,,
9088,AGROPIRO ALARGADO,,Agropyron elongatum (Host) P. Beauv.,BARPIRO,3,,FO,2005/07/20,2005/08/22,2025/08/22,S,ARG,PALAVERSICH Y CIA S.A.C.,EDUARDO BAYLEY BUSTAMANTE,,
933,AGROPIRO ALARGADO,,Agropyron elongatum (Host) P. Beauv.,EL POLACO INTA,4,,FO,1981/01/13,0000/00/00,0000/00/00,,ARG,,,,
904,AGROPIRO ALARGADO,,Agropyron elongatum (Host) P. Beauv.,EL VIZCACHERO INTA,4,,FO,1981/01/13,0000/00/00,0000/00/00,,ARG,,,,
14485,AGROPIRO ALARGADO,,Agropyron elongatum (Host) P. Beauv.,EXTREMO INTA,3,,FO,2013/05/21,2013/05/21,2033/05/21,S,ARG,INST. NAC.TEC. AGROPECUARIA,RAGONESE MARIA ELENA,,
6762,AGROPIRO ALARGADO,,Agropyron elongatum (Host) P. Beauv.,GUAPO,3,,FO,2000/11/02,2000/11/02,2020/11/02,S,ARG,LOS PRADOS S.A.,ALMENAR RICARDO,,
13849,AGROPIRO ALARGADO,,Agropyron elongatum (Host) P. Beauv.,HERCULES,3,,FO,2013/02/14,2013/02/14,2033/02/14,S,ARG,GENTOS SA,GONZALEZ BONORINO JOAQUIN,,
9008,AGROPIRO ALARGADO,,Agropyron elongatum (Host) P. Beauv.,HULK,3,,FO,2005/04/26,2005/08/18,2025/08/18,S,ARG,GENTOS S.A.,JOAQUIN GONZALEZ BONORINO,,
